,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,0.0
1,1,2010-12,0.0,0.0
2,2,2011-12,0.0,0.0
3,3,2012-12,0.0,76.26
4,4,2013-12,0.0,5.64
5,5,2014-12,17.16,4.13
6,6,2015-12,16.57,11.26
7,7,2016-12,-3.38,9.04
8,8,2017-12,24.12,10.13
9,9,2018-12,10.97,10.1
10,10,TTM,0.0,11.11
