,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2009-12,0.0,7.06
1,1,1,1,1,1,1,2010-12,1.82,8.58
2,2,2,2,2,2,2,2011-12,1.37,8.87
3,3,3,3,3,3,3,2012-12,1.81,6.06
4,4,4,4,4,4,4,2013-12,1.98,4.66
5,5,5,5,5,5,5,2014-12,1.61,3.13
6,6,6,6,6,6,6,2015-12,1.93,3.86
7,7,7,7,7,7,7,2016-12,3.33,4.63
8,8,8,8,8,8,8,2017-12,0.66,7.77
9,9,9,9,9,9,9,2018-12,1.9,6.12
10,10,10,10,10,10,10,TTM,0.0,6.01
