,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2010-07,0.68,15.68
1,1,1,2011-07,0.35,13.89
2,2,2,2012-07,2.02,14.18
3,3,3,2013-07,2.03,17.33
4,4,4,2014-07,0.71,19.03
5,5,5,2015-07,4.38,19.44
6,6,6,2016-07,4.73,16.86
7,7,7,2017-07,5.45,22.72
8,8,8,2018-07,5.64,24.6
9,9,9,2019-07,6.05,4.51
10,10,10,TTM,0.0,6.22
