,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2010-12,0.75,3.52
1,1,1,1,1,1,1,2011-12,0.18,3.76
2,2,2,2,2,2,2,2012-12,3.2,4.31
3,3,3,3,3,3,3,2013-12,3.57,4.04
4,4,4,4,4,4,4,2014-12,3.73,4.82
5,5,5,5,5,5,5,2015-12,3.92,4.39
6,6,6,6,6,6,6,2016-12,4.18,6.87
7,7,7,7,7,7,7,2017-12,4.59,5.67
8,8,8,8,8,8,8,2018-12,4.97,5.77
9,9,9,9,9,9,9,2019-12,5.24,6.53
10,10,10,10,10,10,10,TTM,0.0,6.53
