,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,8.15
1,1,2010-12,1.64,9.6
2,2,2011-12,1.99,10.13
3,3,2012-12,2.89,10.62
4,4,2013-12,3.13,11.97
5,5,2014-12,3.62,11.63
6,6,2015-12,3.62,11.37
7,7,2016-12,3.97,11.94
8,8,2017-12,4.57,11.44
9,9,2018-12,5.1,16.73
10,10,TTM,0.0,15.12
