,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2009-12,0.0,14.05
1,1,1,1,1,1,2010-12,3.33,22.55
2,2,2,2,2,2,2011-12,3.48,12.66
3,3,3,3,3,3,2012-12,3.23,7.48
4,4,4,4,4,4,2013-12,3.33,8.98
5,5,5,5,5,5,2014-12,0.36,8.81
6,6,6,6,6,6,2015-12,-0.62,4.14
7,7,7,7,7,7,2016-12,4.68,5.8
8,8,8,8,8,8,2017-12,7.23,10.19
9,9,9,9,9,9,2018-12,3.85,6.51
10,10,10,10,10,10,TTM,0.0,8.24
