,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2009-12,0.0,-39.93
1,1,1,2010-12,-2.51,-121.05
2,2,2,2011-12,-1.4,119.04
3,3,3,2012-12,-0.15,2.32
4,4,4,2013-12,0.21,0.07
5,5,5,2014-12,0.09,1.72
6,6,6,2015-12,0.13,2.33
7,7,7,2016-12,2.68,-59.86
8,8,8,2017-12,-6.93,-78.24
9,9,9,2018-12,-2.45,-189.11
10,10,10,TTM,0.0,-277.89
