Date,ROIC,FCFPS
2011-09,41.04,1.15
2012-09,42.01,1.58
2013-09,26.08,1.61
2014-09,26.2,1.93
2015-09,31.32,2.96
2016-09,21.95,2.24
2017-09,19.86,2.41
2018-09,24.41,2.88
2019-09,25.75,3.07
2020-09,30.11,4.04
TTM,30.11,0.0
