,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2009-12,0.0,-9.36
1,1,1,1,2010-12,1.43,11.5
2,2,2,2,2011-12,0.79,11.54
3,3,3,3,2012-12,1.78,13.3
4,4,4,4,2013-12,2.28,16.77
5,5,5,5,2014-12,2.12,16.83
6,6,6,6,2015-12,2.06,16.54
7,7,7,7,2016-12,7.46,23.82
8,8,8,8,2017-12,2.58,20.4
9,9,9,9,2018-12,1.39,17.45
10,10,10,10,TTM,0.0,13.11
