,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2009-12,0.0,0.01
1,1,1,1,2010-12,-0.12,-6.91
2,2,2,2,2011-12,-0.12,2.94
3,3,3,3,2012-12,0.88,-2.91
4,4,4,4,2013-12,0.89,-0.35
5,5,5,5,2014-12,-0.84,0.86
6,6,6,6,2015-12,-0.15,-4.17
7,7,7,7,2016-12,-0.96,1.45
8,8,8,8,2017-12,0.03,2.86
9,9,9,9,2018-12,0.2,0.42
10,10,10,10,TTM,0.0,-7.62
