,FCFPS,ROIC
2010-06,2.41,8.01
2011-06,4.53,24.72
2012-06,5.29,20.5
2013-06,5.53,13.84
2014-06,3.75,14.22
2015-06,2.94,11.06
2016-06,4.38,21.61
2017-06,5.95,24.34
2018-06,8.01,21.84
2019-06,7.09,24.57
TTM,0.0,25.51
