Date,ROIC,FCFPS
2013-01,17.18,3.32
2014-01,20.89,4.24
2015-01,24.77,4.74
2016-01,27.66,6.04
2017-01,30.76,6.7
2018-01,32.79,8.18
2019-01,0.0,8.73
2020-01,0.0,9.99
2021-01,34.21,16.71
2022-01,38.16,11.36
TTM,38.16,0.0
