,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2010-07,0.0,0.0
1,1,1,1,2011-07,0.0,0.0
2,2,2,2,2012-07,0.0,0.0
3,3,3,3,2013-07,0.0,0.0
4,4,4,4,2014-07,0.0,0.0
5,5,5,5,2015-07,0.0,0.0
6,6,6,6,2016-07,0.0,0.0
7,7,7,7,2017-07,0.0,0.25
8,8,8,8,2018-07,-0.24,-14.63
9,9,9,9,2019-07,-0.29,-3.79
10,10,10,10,TTM,0.0,-5.02
