,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,-39.23
1,1,2010-12,0.74,12.73
2,2,2011-12,0.6,20.89
3,3,2012-12,0.23,13.68
4,4,2013-12,0.55,3.93
5,5,2014-12,1.22,14.0
6,6,2015-12,2.34,11.66
7,7,2016-12,1.24,9.85
8,8,2017-12,1.54,6.7
9,9,2018-12,0.95,9.88
10,10,TTM,0.0,9.6
