Date,ROIC,FCFPS
2010-11,17.47,0.0
2011-11,15.83,0.91
2012-11,15.69,1.28
2013-11,14.22,1.21
2014-11,15.2,1.48
2015-11,14.35,1.62
2016-11,16.74,1.75
2017-11,10.3,1.82
2018-11,13.73,2.69
2019-11,10.7,2.85
TTM,10.77,0.0
