,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,2010-12,0.0,-3.21
2,2,2,2,2,2,2,2011-12,0.0,-6.06
3,3,3,3,3,3,3,2012-12,0.0,14.33
4,4,4,4,4,4,4,2013-12,-0.06,23.08
5,5,5,5,5,5,5,2014-12,1.19,12.17
6,6,6,6,6,6,6,2015-12,0.37,7.96
7,7,7,7,7,7,7,2016-12,0.75,6.48
8,8,8,8,8,8,8,2017-12,2.04,9.43
9,9,9,9,9,9,9,2018-12,2.0,3.88
10,10,10,10,10,10,10,TTM,0.0,0.93
