,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,4.79
1,1,1,1,1,2010-12,5.42,9.11
2,2,2,2,2,2011-12,3.64,9.33
3,3,3,3,3,2012-12,0.67,8.72
4,4,4,4,4,2013-12,1.64,8.37
5,5,5,5,5,2014-12,2.61,8.66
6,6,6,6,6,2015-12,2.15,7.42
7,7,7,7,7,2016-12,1.95,4.76
8,8,8,8,8,2017-12,3.14,7.13
9,9,9,9,9,2018-12,1.59,7.64
10,10,10,10,10,TTM,0.0,5.0
