,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2009-12,0.0,0.0
1,1,1,2010-12,0.0,0.0
2,2,2,2011-12,0.0,0.0
3,3,3,2012-12,0.0,127.58
4,4,4,2013-12,0.0,117.32
5,5,5,2014-12,2.18,7.83
6,6,6,2015-12,-1.01,-39.35
7,7,7,2016-12,-2.51,-48.36
8,8,8,2017-12,-2.38,-42.74
9,9,9,2018-12,-4.16,-60.63
10,10,10,TTM,0.0,-50.81
