,FCFPS,ROIC
2009-12,0.0,-43.07
2010-12,0.0,-30.1
2011-12,0.0,-4.89
2012-12,0.0,4.8
2013-12,-0.47,3.96
2014-12,-0.26,-12.86
2015-12,-0.29,-13.55
2016-12,-0.25,-9.9
2017-12,-0.05,8.22
2018-12,0.11,21.38
TTM,0.0,29.47
