,FCFPS,ROIC
2009-12,0.0,0.0
2010-12,0.0,0.0
2011-12,0.0,0.0
2012-12,0.0,0.0
2013-12,0.0,-61.61
2014-12,-59.32,13.29
2015-12,-58.83,-42.11
2016-12,-113.65,-59.37
2017-12,-167.29,-51.72
2018-12,-93.79,-120.18
TTM,0.0,-155.08
