,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2009-12,0.0,-40.85
1,1,1,1,1,1,1,2010-12,1.67,-5.26
2,2,2,2,2,2,2,2011-12,0.11,16.57
3,3,3,3,3,3,3,2012-12,0.49,15.01
4,4,4,4,4,4,4,2013-12,0.35,74.2
5,5,5,5,5,5,5,2014-12,0.23,16.96
6,6,6,6,6,6,6,2015-12,2.02,15.48
7,7,7,7,7,7,7,2016-12,2.26,16.28
8,8,8,8,8,8,8,2017-12,1.89,8.45
9,9,9,9,9,9,9,2018-12,2.47,12.72
10,10,10,10,10,10,10,TTM,0.0,-3.71
