,FCFPS,ROIC
2010-03,0.28,11.32
2011-03,0.3,16.9
2012-03,0.43,5.33
2013-03,0.49,2.95
2014-03,0.43,-4.75
2015-03,0.1,-4.43
2016-03,-0.22,-2.33
2017-03,0.22,-0.13
2018-03,-0.02,-5.21
2019-03,-0.02,0.18
TTM,0.0,-7.15
