,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,-304.96
1,1,2010-12,-2.75,0.0
2,2,2011-12,-1.8,0.0
3,3,2012-12,-0.9,0.0
4,4,2013-12,-0.91,0.0
5,5,2014-12,-1.2,0.0
6,6,2015-12,-0.47,-27.53
7,7,2016-12,-7.87,-20.1
8,8,2017-12,-9.08,-49.45
9,9,2018-12,-3.2,-94.25
10,10,TTM,0.0,-88.59
