,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2010-07,1.15,17.17
1,1,1,1,1,2011-07,1.04,20.74
2,2,2,2,2,2012-07,1.19,22.59
3,3,3,3,3,2013-07,1.36,20.35
4,4,4,4,4,2014-07,1.59,19.61
5,5,5,5,5,2015-07,1.03,15.72
6,6,6,6,6,2016-07,1.28,15.33
7,7,7,7,7,2017-07,1.88,17.65
8,8,8,8,8,2018-07,1.06,13.71
9,9,9,9,9,2019-07,1.46,19.27
10,10,10,10,10,TTM,0.0,16.78
