,FCFPS,ROIC
2010-09,0.37,0
2011-09,0.44,0
2012-09,0.27,0
2013-09,0.53,0
2014-09,0.35,0
2015-09,0.31,0
2016-09,0.25,0
2017-09,0.39,0
2018-09,0.48,0
2019-09,0.53,0
TTM,0.0,0
