,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2009-12,0.0,-2.96
1,1,1,1,2010-12,0.0,6.26
2,2,2,2,2011-12,0.0,0.62
3,3,3,3,2012-12,-3.43,4.27
4,4,4,4,2013-12,-17.36,6.68
5,5,5,5,2014-12,-20.66,11.47
6,6,6,6,2015-12,-8.79,-21.7
7,7,7,7,2016-12,-11.11,-3.47
8,8,8,8,2017-12,-25.41,9.04
9,9,9,9,2018-12,-6.79,7.39
10,10,10,10,TTM,0.0,8.66
