,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2009-12,0.0,6.11
1,1,1,1,1,1,2010-12,0.0,8.47
2,2,2,2,2,2,2011-12,1.31,9.83
3,3,3,3,3,3,2012-12,1.71,13.85
4,4,4,4,4,4,2013-12,2.52,14.13
5,5,5,5,5,5,2014-12,2.03,13.38
6,6,6,6,6,6,2015-12,3.4,12.43
7,7,7,7,7,7,2016-12,2.75,-14.7
8,8,8,8,8,8,2017-12,2.02,0.0
9,9,9,9,9,9,2018-12,1.34,0.0
10,10,10,10,10,10,TTM,0.0,0.0
