,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2010-12,-0.1,-5.59
1,1,1,1,1,1,1,2011-12,0.11,1.39
2,2,2,2,2,2,2,2012-12,1.49,1.23
3,3,3,3,3,3,3,2013-12,1.26,2.96
4,4,4,4,4,4,4,2014-12,1.24,4.8
5,5,5,5,5,5,5,2015-12,1.46,5.73
6,6,6,6,6,6,6,2016-12,1.48,7.04
7,7,7,7,7,7,7,2017-12,1.63,9.7
8,8,8,8,8,8,8,2018-12,1.58,7.07
9,9,9,9,9,9,9,2019-12,1.97,9.28
10,10,10,10,10,10,10,TTM,0.0,9.28
