Date,FCFPS,ROIC
2010-12,0.0,0.0
2011-12,0.0,0.0
2012-12,0.0,0.0
2013-12,0.0,0.0
2014-12,0.0,0.0
2015-12,-0.11,-19.26
2016-12,-0.15,-11.21
2017-12,-0.27,-5.55
2018-12,-0.24,-4.12
2019-12,-0.28,-4.73
TTM,0.0,-4.73
