,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2010-12,4.77,13.32
1,1,1,2011-12,7.02,13.39
2,2,2,2012-12,5.82,13.14
3,3,3,2013-12,6.16,12.53
4,4,4,2014-12,5.27,12.18
5,5,5,2015-12,7.41,10.86
6,6,6,2016-12,13.44,11.16
7,7,7,2017-12,13.16,15.23
8,8,8,2018-12,8.73,15.59
9,9,9,2019-12,13.06,16.28
10,10,10,TTM,0.0,16.28
