,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2009-12,0.0,5.83
1,1,1,2010-12,0.34,9.74
2,2,2,2011-12,-0.28,4.72
3,3,3,2012-12,1.63,6.49
4,4,4,2013-12,1.29,5.31
5,5,5,2014-12,0.7,-2.49
6,6,6,2015-12,2.99,0.15
7,7,7,2016-12,1.69,4.46
8,8,8,2017-12,1.23,-6.7
9,9,9,2018-12,0.52,1.88
10,10,10,TTM,0.0,0.14
