,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2009-12,0.0,14.0
1,1,1,1,1,1,2010-12,3.74,14.79
2,2,2,2,2,2,2011-12,3.27,18.41
3,3,3,3,3,3,2012-12,5.14,18.71
4,4,4,4,4,4,2013-12,5.55,18.31
5,5,5,5,5,5,2014-12,4.49,17.63
6,6,6,6,6,6,2015-12,6.53,18.17
7,7,7,7,7,7,2016-12,5.79,17.7
8,8,8,8,8,8,2017-12,3.89,11.87
9,9,9,9,9,9,2018-12,7.11,13.34
10,10,10,10,10,10,TTM,0.0,12.14
