,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2010-08,3.2,11.38
1,1,1,1,1,1,1,2011-08,3.22,11.63
2,2,2,2,2,2,2,2012-08,3.36,11.67
3,3,3,3,3,3,3,2013-08,2.2,11.52
4,4,4,4,4,4,4,2014-08,3.71,13.65
5,5,5,5,5,5,5,2015-08,4.84,14.95
6,6,6,6,6,6,6,2016-08,6.84,16.71
7,7,7,7,7,7,7,2017-08,4.66,16.99
8,8,8,8,8,8,8,2018-08,9.03,18.41
9,9,9,9,9,9,9,2019-08,7.87,16.39
10,10,10,10,10,10,10,TTM,0.0,14.77
