,FCFPS,ROIC
2010-06,0.96,4.64
2011-06,-0.35,6.81
2012-06,1.55,10.56
2013-06,1.06,9.74
2014-06,0.85,13.71
2015-06,0.2,14.6
2016-06,-0.69,5.94
2017-06,-6.52,4.35
2018-06,-4.07,6.74
2019-06,2.62,-7.66
TTM,0.0,1.28
