,FCFPS,ROIC
2009-12,0.0,-2.83
2010-12,-8.76,-5.69
2011-12,6.93,-3.42
2012-12,2.05,2.28
2013-12,6.18,3.25
2014-12,-2.43,5.21
2015-12,-4.34,4.12
2016-12,-5.79,0.1
2017-12,-4.36,2.06
2018-12,-9.39,0.87
TTM,0.0,1.03
