,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2010-06,-0.19,8.73
1,1,1,1,2011-06,-0.5,-0.19
2,2,2,2,2012-06,-0.09,3.48
3,3,3,3,2013-06,0.45,10.58
4,4,4,4,2014-06,0.2,26.47
5,5,5,5,2015-06,2.44,39.41
6,6,6,6,2016-06,3.65,8.88
7,7,7,7,2017-06,2.51,3.45
8,8,8,8,2018-06,2.21,6.28
9,9,9,9,2019-06,4.04,-16.44
10,10,10,10,TTM,0.0,4.83
