,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,14.0
1,1,1,1,1,2010-12,1.87,14.41
2,2,2,2,2,2011-12,-3.12,3.42
3,3,3,3,3,2012-12,0.35,3.48
4,4,4,4,4,2013-12,-0.98,13.88
5,5,5,5,5,2014-12,0.62,5.39
6,6,6,6,6,2015-12,-5.63,7.33
7,7,7,7,7,2016-12,1.34,6.64
8,8,8,8,8,2017-12,1.23,6.96
9,9,9,9,9,2018-12,1.55,6.55
10,10,10,10,10,TTM,0.0,6.5
