,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2010-06,4.35,0.0
1,1,1,1,1,1,2011-06,3.4,0.0
2,2,2,2,2,2,2012-06,3.23,0.0
3,3,3,3,3,3,2013-06,4.27,25.55
4,4,4,4,4,4,2014-06,4.32,25.01
5,5,5,5,5,5,2015-06,5.27,26.93
6,6,6,6,6,6,2016-06,5.09,28.53
7,7,7,7,7,7,2017-06,4.51,28.32
8,8,8,8,8,8,2018-06,5.8,29.76
9,9,9,9,9,9,2019-06,6.12,27.76
10,10,10,10,10,10,TTM,0.0,25.73
