Date,ROIC,FCFPS
2012-12,2.73,-0.16
2013-12,8.97,-0.18
2014-12,13.39,-0.11
2015-12,7.17,-1.65
2016-12,5.12,-2.97
2017-12,9.56,-4.79
2018-12,12.35,-4.66
2019-12,12.44,-6.43
2020-12,15.75,1.42
2021-12,18.52,0.33
TTM,17.96,0.0
