,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2010-09,-8.73,0
1,1,1,1,2011-09,12.38,0
2,2,2,2,2012-09,4.84,0
3,3,3,3,2013-09,3.58,0
4,4,4,4,2014-09,4.52,0
5,5,5,5,2015-09,3.12,0
6,6,6,6,2016-09,1.64,0
7,7,7,7,2017-09,5.13,0
8,8,8,8,2018-09,5.61,0
9,9,9,9,2019-09,9.87,0
10,10,10,10,TTM,0.0,0
