,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2009-12,0.0,0.0
1,1,1,2010-12,-42.06,0.0
2,2,2,2011-12,-7.34,-148.7
3,3,3,2012-12,-8.4,-94.97
4,4,4,2013-12,-4.45,-92.69
5,5,5,2014-12,-3.11,-57.68
6,6,6,2015-12,-1.21,-33.48
7,7,7,2016-12,-1.7,-46.1
8,8,8,2017-12,0.0,-45.2
9,9,9,2018-12,-2.76,-57.94
10,10,10,TTM,0.0,-49.11
