,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2010-12,2.75,11.19
1,1,1,1,2011-12,2.93,13.06
2,2,2,2,2012-12,3.53,11.75
3,3,3,3,2013-12,3.84,10.32
4,4,4,4,2014-12,4.04,6.66
5,5,5,5,2015-12,4.7,10.02
6,6,6,6,2016-12,6.16,15.24
7,7,7,7,2017-12,4.96,-0.16
8,8,8,8,2018-12,6.79,18.19
9,9,9,9,2019-12,5.17,45.3
10,10,10,10,TTM,0.0,45.3
