,FCFPS,ROIC
2010-09,3.72,0
2011-09,-6.02,0
2012-09,-6.09,0
2013-09,-9.21,0
2014-09,-6.77,0
2015-09,-3.58,0
2016-09,0.56,0
2017-09,-1.59,0
2018-09,1.58,0
2019-09,-0.83,0
TTM,0.0,0
