,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2008-12,0.0,0.0
1,1,1,2009-12,0.0,0.0
2,2,2,2011-12,-1.06,1.11
3,3,3,2012-12,2.45,19.13
4,4,4,2013-12,2.34,8.62
5,5,5,2014-12,2.9,7.52
6,6,6,2015-12,3.54,13.36
7,7,7,2016-12,3.51,0.0
8,8,8,2017-12,3.58,0.0
9,9,9,2018-12,3.23,0.0
10,10,10,TTM,0.0,0.0
