Date,ROIC,FCFPS
2011-01,8.08,0.98
2012-01,15.38,1.25
2013-01,12.17,0.96
2014-01,8.13,1.07
2015-01,11.09,1.24
2016-01,9.34,1.79
2017-01,22.94,2.12
2018-01,33.68,4.08
2019-01,39.3,5.41
2020-01,20.39,5.9
TTM,21.09,0.0
