,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2010-03,0.02,34.74
1,1,1,1,1,1,1,2011-03,0.1,44.54
2,2,2,2,2,2,2,2012-03,0.09,103.09
3,3,3,3,3,3,3,2013-03,0.31,10.91
4,4,4,4,4,4,4,2014-03,0.18,1.21
5,5,5,5,5,5,5,2015-03,0.12,0.7
6,6,6,6,6,6,6,2016-03,0.19,-1.87
7,7,7,7,7,7,7,2017-03,0.2,-1.69
8,8,8,8,8,8,8,2018-03,0.07,-41.19
9,9,9,9,9,9,9,2019-03,-0.37,-19.71
10,10,10,10,10,10,10,TTM,0.0,-25.0
