Date,ROIC,FCFPS
2010-12,19.69,0.0
2011-12,15.04,3.65
2012-12,13.84,3.66
2013-12,14.07,4.62
2014-12,14.22,4.48
2015-12,13.38,5.21
2016-12,15.55,5.17
2017-12,11.0,4.65
2018-12,27.64,3.9
2019-12,17.11,4.31
TTM,15.38,0.0
