,FCFPS,ROIC
2009-12,0.0,-2.16
2010-12,-0.82,39.87
2011-12,0.09,7.41
2012-12,-0.7,5.12
2013-12,-0.88,-19.65
2014-12,-3.66,-13.4
2015-12,1.04,-16.39
2016-12,0.81,7.89
2017-12,0.91,6.79
2018-12,0.29,0.8
TTM,0.0,2.61
