,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,2009-12,0.0,5.54
1,1,1,1,1,1,1,2010-12,-2.65,3.93
2,2,2,2,2,2,2,2011-12,-1.44,8.9
3,3,3,3,3,3,3,2012-12,3.24,7.32
4,4,4,4,4,4,4,2013-12,2.73,11.92
5,5,5,5,5,5,5,2014-12,2.89,5.09
6,6,6,6,6,6,6,2015-12,3.11,6.11
7,7,7,7,7,7,7,2016-12,2.45,23.19
8,8,8,8,8,8,8,2017-12,2.78,5.1
9,9,9,9,9,9,9,2018-12,2.97,5.52
10,10,10,10,10,10,10,TTM,0.0,6.1
