,FCFPS,ROIC
2009-12,0.0,-4.35
2010-12,2.0,3.11
2011-12,3.73,3.43
2012-12,3.76,5.93
2013-12,3.76,9.76
2014-12,6.02,9.55
2015-12,4.98,6.24
2016-12,6.72,3.95
2017-12,3.51,-19.05
2018-12,3.72,1.42
TTM,0.0,2.95
