Date,ROIC,FCFPS
2010-12,0.0,-3.31
2011-12,-64.95,-2.88
2012-12,-72.33,-4.71
2013-12,-5.65,-1.26
2014-12,-9.81,-4.31
2015-12,-22.72,-17.14
2016-12,-6.59,-6.34
2017-12,-11.49,-30.01
2018-12,-2.93,-8.84
2019-12,-1.67,4.98
TTM,1.6,0.0
