,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,12.93
1,1,2010-12,0.34,16.92
2,2,2011-12,0.21,8.41
3,3,2012-12,-0.59,5.23
4,4,2013-12,-0.32,7.89
5,5,2014-12,-0.08,8.0
6,6,2015-12,0.17,3.93
7,7,2016-12,-0.12,8.09
8,8,2017-12,0.29,11.29
9,9,2018-12,0.07,5.79
10,10,TTM,0.0,3.06
