,FCFPS,ROIC
2009-12,0.0,14.0
2010-12,-0.37,22.58
2011-12,-1.74,24.33
2012-12,-9.9,7.03
2013-12,-12.9,8.64
2014-12,-10.71,9.74
2015-12,-13.96,-39.54
2016-12,-2.89,-27.24
2017-12,-11.14,12.04
2018-12,-1.42,9.94
TTM,0.0,8.61
