,FCFPS,ROIC
2010-09,1.56,13.23
2011-09,2.55,15.84
2012-09,2.99,18.81
2013-09,3.77,18.06
2014-09,4.98,19.84
2015-09,2.63,10.65
2016-09,4.24,12.67
2017-09,2.54,4.92
2018-09,3.75,-13.61
2019-09,3.85,24.19
TTM,0.0,22.09
