,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2009-12,0.0,9.89
1,1,1,1,1,1,2010-12,0.59,11.31
2,2,2,2,2,2,2011-12,1.26,10.92
3,3,3,3,3,3,2012-12,-0.17,11.65
4,4,4,4,4,4,2013-12,0.07,11.95
5,5,5,5,5,5,2014-12,-1.28,14.7
6,6,6,6,6,6,2015-12,-0.41,14.08
7,7,7,7,7,7,2016-12,0.98,11.39
8,8,8,8,8,8,2017-12,0.99,13.84
9,9,9,9,9,9,2018-12,-0.2,6.98
10,10,10,10,10,10,TTM,0.0,6.31
