,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2010-03,2.21,13.12
1,1,1,2011-03,2.56,18.16
2,2,2,2012-03,2.08,18.13
3,3,3,2013-03,2.58,12.66
4,4,4,2014-03,0.97,15.41
5,5,5,2015-03,3.06,12.57
6,6,6,2016-03,1.46,9.39
7,7,7,2017-03,1.44,6.09
8,8,8,2018-03,-0.08,5.89
9,9,9,2019-03,-2.38,-14.5
10,10,10,TTM,0.0,-27.12
