,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,-52.39
1,1,2010-12,-0.13,-41.8
2,2,2011-12,-2.63,-36.19
3,3,2012-12,-0.06,-9.48
4,4,2013-12,0.15,-5.56
5,5,2014-12,-0.4,17.84
6,6,2015-12,2.27,5.21
7,7,2016-12,6.18,2.05
8,8,2017-12,2.44,-9.34
9,9,2018-12,2.96,-2.46
10,10,TTM,0.0,-29.84
