,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2009-12,0.0,0.0
1,1,1,2010-12,0.0,0.0
2,2,2,2011-12,-11.53,-65.61
3,3,3,2012-12,-17.97,-120.94
4,4,4,2013-12,-16.22,-137.83
5,5,5,2014-12,-7.64,-61.83
6,6,6,2015-12,-5.5,-36.99
7,7,7,2016-12,-3.79,-39.1
8,8,8,2017-12,-4.23,-56.85
9,9,9,2018-12,-3.65,-45.86
10,10,10,TTM,0.0,-45.53
