Date,ROIC,FCFPS
2010-08,10.74,3.86
2011-08,11.13,4.31
2012-08,12.46,3.59
2013-08,14.04,3.74
2014-08,12.63,4.98
2015-08,13.69,2.97
2016-08,14.18,4.27
2017-08,15.78,4.88
2018-08,17.44,7.62
2019-08,17.09,5.81
TTM,15.13,0.0
