,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,8.94
1,1,1,1,1,2010-12,2.22,3.94
2,2,2,2,2,2011-12,4.16,23.97
3,3,3,3,3,2012-12,6.3,19.23
4,4,4,4,4,2013-12,0.57,18.99
5,5,5,5,5,2014-12,4.67,11.54
6,6,6,6,6,2015-12,6.14,12.44
7,7,7,7,7,2016-12,-0.45,4.06
8,8,8,8,8,2017-12,3.09,16.72
9,9,9,9,9,2018-12,2.83,12.84
10,10,10,10,10,TTM,0.0,17.52
