,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2009-12,0.0,0
1,1,1,2010-12,11.07,0
2,2,2,2011-12,15.55,0
3,3,3,2012-12,16.86,0
4,4,4,2013-12,6.65,0
5,5,5,2014-12,-1.76,0
6,6,6,2015-12,1.27,0
7,7,7,2016-12,7.4,0
8,8,8,2017-12,-0.32,0
9,9,9,2018-12,2.46,0
10,10,10,TTM,0.0,0
