,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,17.26
1,1,1,1,1,2010-12,-0.76,15.72
2,2,2,2,2,2011-12,-3.37,14.86
3,3,3,3,3,2012-12,1.63,11.68
4,4,4,4,4,2013-12,3.49,10.79
5,5,5,5,5,2014-12,1.54,10.34
6,6,6,6,6,2015-12,4.05,8.1
7,7,7,7,7,2016-12,4.28,5.57
8,8,8,8,8,2017-12,-0.22,-4.67
9,9,9,9,9,2018-12,0.29,6.88
10,10,10,10,10,TTM,0.0,8.16
