,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2010-03,0.04,8.95
1,1,1,1,1,2011-03,0.32,8.82
2,2,2,2,2,2012-03,0.33,10.36
3,3,3,3,3,2013-03,0.8,7.33
4,4,4,4,4,2014-03,0.72,7.13
5,5,5,5,5,2015-03,1.09,6.69
6,6,6,6,6,2016-03,1.25,5.85
7,7,7,7,7,2017-03,1.04,8.04
8,8,8,8,8,2018-03,1.25,9.06
9,9,9,9,9,2019-03,0.83,8.27
10,10,10,10,10,TTM,0.0,10.33
