,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2010-12,5.9,11.51
1,1,1,2011-12,-3.38,13.77
2,2,2,2012-12,2.77,9.53
3,3,3,2013-12,7.2,16.08
4,4,4,2014-12,2.63,10.72
5,5,5,2015-12,9.52,10.97
6,6,6,2016-12,7.06,12.1
7,7,7,2017-12,8.94,5.35
8,8,8,2018-12,0.56,0.41
9,9,9,2019-12,11.08,13.87
10,10,10,TTM,0.0,13.87
